fecha, algoritmo, video, TE: HOTA, TE: DetA, TE: AssA, TE: DetRe, TE: DetPr, TE: AssRe, TE: AssPr, TE: LocA, TE: IDF1, TE: IDR, TE: IDP, TE: IDTP, TE: IDFN, TE: IDFP, TE: SFDA, TE: ATA, MP: F1 Score Detecciones, MP: Precision Detecciones, MP: Recall Detecciones, MP: Max Personas Detectadas/Esperadas, HM: Error[%], Carpeta
20230129-223841, object_detection/yolox, ../data/videos/59.mp4, 22.802, 27.41, 19.65, 28.18, 75.112, 20.941, 57.925, 79.102, 26.946, 18.528, 49.385, 803, 3531, 823, 39.879, 12.435, 0.5393268024739415, 0.9995458673932789, 0.38095238095238093, 4/7, 0.9296358985453759, ../resultados/yolox/20230129-223841
20230129-224325, object_tracking/siam-mot, ../data/videos/59.mp4, 48.537, 37.91, 62.754, 43.011, 62.807, 67.443, 74.711, 76.348, 61.052, 51.431, 75.101, 2229, 2105, 739, 50.31, 34.684, 0.6451531665428123, 0.8063351498637602, 0.5629622421175555, 6/7, 0.946978779152402, ../resultados/siam-mot/20230129-224325
20230130-000655, object_detection/yolov2, ../data/videos/59.mp4, 2.8493, 1.2952, 6.2703, 1.3528, 21.477, 7.7656, 22.883, 72.833, 3.0389, 1.6151, 25.641, 70, 4264, 203, 2.3341, 1.5895, 0.02912936291682886, 0.7463669391462306, 0.017555469054106657, 3/7, 7.5033132837190335, ../resultados/yolov2/20230130-000655
20230130-001339, object_detection/yolov3, ../data/videos/59.mp4, 30.427, 20.793, 45.454, 21.389, 70.817, 53.529, 61.428, 76.99, 39.376, 25.635, 84.874, 1111, 3223, 198, 32.176, 25.528, 0.4550808788547208, 0.9952316076294278, 0.3064940962761126, 3/7, 0.9034254369701696, ../resultados/yolov3/20230130-001339
20230130-002709, object_detection/yolov1-tiny, ../data/videos/59.mp4, 0.070822, 0.029145, 0.17209, 0.029145, 31.579, 0.17209, 31.579, 78.484, 0, 0, 0, 0, 4334, 4, 0.049619, 0, 0.0, 0.9945504087193461, 0.0, 1/7, 0.062271013111805995, ../resultados/yolov1-tiny/20230130-002709
20230130-013908, object_detection/pedestrian_detection, ../data/videos/59.mp4, 23.127, 14.425, 37.085, 14.569, 80.436, 45.18, 55.157, 81.945, 23.872, 14.098, 77.834, 611, 3723, 174, 24.012, 14.73, 0.30077635050387097, 0.9990917347865577, 0.18363825094070327, 3/7, 0.11623577497515432, ../resultados/pedestrian_detection/20230130-013908
20230130-015903, object_detection/pedestrian_detection, ../data/videos/large1.mp4, 22.772, 50.986, 10.455, 53.886, 79.191, 17.902, 17.517, 82.457, 22.324, 18.757, 27.566, 3215, 13925, 8448, 62.636, 13.458, 0.7714775943753216, 0.9661406926406927, 0.6628454184704184, 8/9, 0.5214285714285715, ../resultados/pedestrian_detection/20230130-015903
20230130-022032, object_detection/yolox, ../data/videos/large1.mp4, 21.161, 58.543, 7.7708, 62.233, 81.662, 12.791, 16.312, 84.314, 19.383, 17.077, 22.409, 2927, 14213, 10135, 68.942, 10.64, 0.8159799580247441, 0.9506318542568543, 0.7271239177489177, 9/9, 0.6095892780936782, ../resultados/yolox/20230130-022032
20230130-023208, object_detection/yolov1-tiny, ../data/videos/large1.mp4, 2.0537, 1.1272, 3.7495, 1.1343, 28.975, 4.3735, 25.414, 61.269, 0.24704, 0.12835, 3.2787, 22, 17118, 649, 2.104, 0.14076, 0.002946969696969697, 0.7113636363636363, 0.0017577561327561328, 2/9, 0.5865992819899136, ../resultados/yolov1-tiny/20230130-023208
20230130-024237, object_detection/yolov2, ../data/videos/large1.mp4, 12.682, 6.643, 24.373, 6.8169, 54.985, 27.908, 41.026, 70.976, 10.88, 6.1144, 49.318, 1048, 16092, 1077, 11.84, 5.4129, 0.1461198347107438, 0.8256060606060606, 0.08637085137085136, 4/9, 0.35904760721871004, ../resultados/yolov2/20230130-024237
20230130-025620, object_detection/yolov3, ../data/videos/large1.mp4, 19.846, 53.043, 7.4892, 55.844, 79.612, 14.054, 13.757, 82.257, 18.407, 15.659, 22.324, 2684, 14456, 9339, 64.301, 11.576, 0.793771419682516, 0.9706818181818182, 0.6837003968253968, 8/9, 0.6394160583941606, ../resultados/yolov3/20230130-025620
20230130-031631, object_tracking/siam-mot, ../data/videos/large1.mp4, 55.828, 64.15, 48.969, 74.5, 73.219, 51.404, 80.875, 82.801, 62.684, 63.232, 62.144, 10838, 6302, 6602, 73.204, 10.999, 0.8831389090355809, 0.8803420733307097, 0.8927227633477633, 11/9, 0.8240560529388867, ../resultados/siam-mot/20230130-031631
20230130-185544, object_detection/pedestrian_detection, ../data/videos/large2.mp4, 23.781, 59.207, 9.7412, 64.942, 72.521, 19.482, 15.054, 78.997, 26.444, 25.062, 27.987, 2940, 8791, 7565, 68.883, 14.081, 0.8888452361660918, 0.9526287878787879, 0.8509027777777778, 9/9, 0.9054097829608033, ../resultados/pedestrian_detection/20230130-185544
20230130-192035, object_detection/yolox, ../data/videos/large2.mp4, 21.539, 59.223, 8.0687, 66.816, 70.71, 13.968, 15.449, 79.369, 23.746, 23.093, 24.438, 2709, 9022, 8376, 69.071, 11.739, 0.8861316585968992, 0.9190753968253969, 0.8743257575757576, 9/9, 0.853529547022304, ../resultados/yolox/20230130-192035
20230130-194129, object_detection/yolov1-tiny, ../data/videos/large2.mp4, 1.8906, 1.0838, 3.3197, 1.097, 30.137, 4.1974, 12.722, 64.899, 0.7567, 0.39212, 10.773, 46, 11685, 381, 1.5249, 0.53651, 0.009466876557785648, 0.865530303030303, 0.005726911976911977, 3/9, 0.02499712676703827, ../resultados/yolov1-tiny/20230130-194129
20230130-195205, object_detection/yolov2, ../data/videos/large2.mp4, 12.221, 12.518, 12.091, 12.769, 72.961, 17.302, 27.566, 78.513, 12.943, 7.6038, 43.449, 892, 10839, 1161, 22.934, 5.254, 0.2862232388823298, 0.9488636363636364, 0.20677633477633478, 4/9, 0.5474885844748858, ../resultados/yolov2/20230130-195205
20230130-200458, object_detection/yolov3, ../data/videos/large2.mp4, 26.342, 57.864, 12.28, 62.407, 72.672, 23.866, 17.609, 77.941, 28.535, 26.519, 30.881, 3111, 8620, 6963, 67.968, 14.66, 0.8863402011684097, 0.9691204906204907, 0.8301374458874459, 9/9, 0.776498696785404, ../resultados/yolov3/20230130-200458
20230130-202722, object_tracking/siam-mot, ../data/videos/large2.mp4, 47.395, 52.861, 42.865, 70.007, 58.448, 46.477, 72.917, 78.106, 58.615, 64.411, 53.776, 7556, 4175, 6495, 63.271, 10.964, 0.827482037624945, 0.7722074806506625, 0.9208520923520923, 12/9, 0.8235386921195866, ../resultados/siam-mot/20230130-202722
20230130-233356, object_detection/pedestrian_detection, ../data/videos/large3.mp4, 21.327, 55.539, 8.2368, 58.296, 79.28, 17.249, 14.307, 81.628, 19.085, 16.56, 22.52, 1830, 9221, 6296, 66.168, 10.276, 0.8199073855437492, 0.9724729437229437, 0.7389853896103896, 7/8, 0.8763399693721287, ../resultados/pedestrian_detection/20230130-233356
20230130-235627, object_detection/yolox, ../data/videos/large3.mp4, 20.809, 59.466, 7.4169, 63.258, 79.766, 12.849, 17.031, 82.835, 18.552, 16.632, 20.972, 1838, 9213, 6926, 70.264, 8.801, 0.8532401285583103, 0.9604512987012988, 0.7883685064935065, 7/8, 0.7577722230901421, ../resultados/yolox/20230130-235627
20230131-000813, object_detection/yolov1-tiny, ../data/videos/large3.mp4, 2.2319, 1.1373, 4.4343, 1.1483, 27.289, 5.2306, 16.455, 61.656, 0.24314, 0.12669, 3.0108, 14, 11037, 451, 1.9369, 0.08119, 0.004133838383838384, 0.8063636363636364, 0.002649350649350649, 2/8, 0.41565320179127546, ../resultados/yolov1-tiny/20230131-000813
20230131-001547, object_detection/yolov2, ../data/videos/large3.mp4, 2.9673, 2.8027, 3.1432, 2.9095, 38.096, 4.2269, 14.459, 74.348, 3.0433, 1.6379, 21.445, 181, 10870, 663, 4.8443, 1.0145, 0.06320490620490621, 0.8079545454545455, 0.04075324675324675, 3/8, -4.268255687973998, ../resultados/yolov2/20230131-001547
20230131-002832, object_detection/yolov3, ../data/videos/large3.mp4, 24.304, 56.918, 10.587, 60.325, 78.017, 22.947, 16.881, 81.345, 24.648, 21.853, 28.262, 2415, 8636, 6130, 68.066, 12.216, 0.8466712353303262, 0.9657532467532468, 0.7743262987012987, 7/8, 0.6659030164184804, ../resultados/yolov3/20230131-002832
20230131-005135, object_tracking/siam-mot, ../data/videos/large3.mp4, 47.291, 58.813, 38.395, 72.726, 66.126, 43.104, 69.178, 80.877, 52.299, 54.909, 49.926, 6068, 4983, 6086, 70.349, 18.884, 0.8718525464434556, 0.8485932539682539, 0.905176948051948, 10/8, 0.7744227353463587, ../resultados/siam-mot/20230131-005135
20230131-193958, object_tracking/siam-mot, ../data/videos/MOT17-09.mp4, , , , , , , , , , , , , , , , , , , , /, , ../resultados/siam-mot/20230131-193958
