Frame,Object,x,y,width,height,,,non occluded
1,1,318.54,-0.9,76.72,174.82,1,1,1
1,2,1087.36,0,101.2,234.32,1,1,1
1,3,0,488.79,196.12,231.21,1,1,1
1,4,0.24,397.55,119.16,295.45,1,1,0
1,5,1192.5,0,79.17,80,1,1,0
1,6,654.2,0,49.13,65,1,1,0
2,1,319.63,0,76,170.74,1,1,1
2,2,1087.8,0,101.2,234.32,1,1,1
2,3,0,488.79,196.12,231.21,1,1,1
2,4,0.24,397.55,119.16,295.45,1,1,0
2,5,1193.25,0,79.17,80,1,1,0
2,6,654.29,0,49.38,65,1,1,0
3,1,322.26,1,76,170,1,1,1
3,2,1088.23,0,101.2,234.32,1,1,1
3,3,0,488.79,196.12,231.21,1,1,1
3,4,0.24,397.55,119.16,295.45,1,1,0
3,5,1194,0,79.17,80,1,1,0
3,6,654.39,0,49.62,65,1,1,0
4,1,322,2,76,170,1,1,1
4,2,1088.67,0,101.2,234.32,1,1,1
4,3,0,488.79,196.12,231.21,1,1,1
4,4,0.24,397.55,119.16,295.45,1,1,0
4,5,1194.75,0,79.17,80,1,1,0
4,6,654.48,0,49.86,65,1,1,0
5,1,321,3,76,170,1,1,1
5,2,1089.1,0,101.2,234.32,1,1,1
5,3,0,488.79,196.12,231.21,1,1,1
5,4,0.24,397.55,119.16,295.45,1,1,0
5,5,1195.5,0,79.17,80,1,1,0
5,6,654.58,0,50.1,65,1,1,0
6,1,324,2,76,170,1,1,1
6,2,1089.54,0,101.2,234.32,1,1,1
6,3,0,488.79,196.12,231.21,1,1,1
6,4,0.24,397.55,119.16,295.45,1,1,0
6,5,1196.25,0,79.17,80,1,1,0
6,6,654.67,0,50.34,65,1,1,0
7,1,324,2,76,170,1,1,1
7,2,1089.97,0,101.2,234.32,1,1,1
7,3,0,488.79,196.12,231.21,1,1,1
7,4,0.24,397.55,119.16,295.45,1,1,0
7,5,1197,0,79.17,80,1,1,0
7,6,654.76,0,50.59,65,1,1,0
8,1,324,0,76,170,1,1,1
