frame,id,category,probability,x,y,width,height
1,0, 66[ keyboard ],0.882533848,876,623,131,97
1,1, 62[ tv ],0.82371223,1096,262,100,123
1,2, 0[ person ],0.745087385,309,1,88,165
1,3, 62[ tv ],0.742948592,811,431,127,169
1,4, 66[ keyboard ],0.714339495,1163,423,93,77
1,5, 0[ person ],0.688551545,1089,1,104,209
1,6, 73[ book ],0.443771511,699,643,110,76
1,7, 56[ chair ],0.416056722,0,401,188,318
2,0, 66[ keyboard ],0.884299159,876,623,131,96
2,1, 62[ tv ],0.823988259,1096,262,100,123
2,2, 0[ person ],0.750184417,312,1,84,163
2,3, 62[ tv ],0.74166131,811,431,126,169
2,4, 66[ keyboard ],0.707479894,1163,424,93,76
2,5, 0[ person ],0.691478848,1088,1,104,206
2,6, 73[ book ],0.452782422,699,643,109,76
3,0, 66[ keyboard ],0.885335922,876,623,131,97
3,1, 62[ tv ],0.823091745,1096,262,100,123
3,2, 0[ person ],0.754340887,312,1,84,163
3,3, 62[ tv ],0.742317557,811,431,126,169
3,4, 66[ keyboard ],0.707202315,1162,423,94,76
3,5, 0[ person ],0.690193534,1088,1,104,206
3,6, 73[ book ],0.452791333,699,643,109,76
4,0, 66[ keyboard ],0.885509133,876,623,131,96
4,1, 62[ tv ],0.825480878,1096,262,100,123
4,2, 62[ tv ],0.743540704,811,431,127,169
4,3, 66[ keyboard ],0.713840246,1163,424,93,76
4,4, 0[ person ],0.700028658,315,0,82,157
4,5, 0[ person ],0.697925806,1088,1,98,212
4,6, 73[ book ],0.455356896,699,643,109,76
4,7, 56[ chair ],0.413815618,0,400,187,318
5,0, 66[ keyboard ],0.884982109,876,623,131,96
5,1, 0[ person ],0.837270558,1088,0,97,208
5,2, 62[ tv ],0.836442351,1096,262,100,123
5,3, 62[ tv ],0.752727866,811,431,127,169
5,4, 66[ keyboard ],0.725141943,1163,424,93,76
5,5, 0[ person ],0.638224185,318,0,79,151
5,6, 73[ book ],0.449827731,699,644,109,76
6,0, 66[ keyboard ],0.884406209,876,623,131,96
6,1, 0[ person ],0.838255465,1088,0,97,208
6,2, 62[ tv ],0.836774349,1096,262,100,123
6,3, 62[ tv ],0.75250411,811,431,126,169
6,4, 66[ keyboard ],0.723506927,1162,424,94,76
6,5, 0[ person ],0.630096436,318,0,79,151
6,6, 73[ book ],0.450678647,699,643,109,76
7,0, 66[ keyboard ],0.884315073,876,623,131,96
7,1, 62[ tv ],0.836290538,1096,263,100,122
7,2, 0[ person ],0.833627462,1088,0,98,205
7,3, 62[ tv ],0.754618526,811,431,127,168
7,4, 66[ keyboard ],0.724803448,1163,423,93,77
7,5, 0[ person ],0.645232022,317,0,81,153
7,6, 73[ book ],0.447116107,699,643,109,76
8,0, 66[ keyboard ],0.885387301,876,623,131,96
8,1, 62[ tv ],0.830641687,1096,263,100,122
8,2, 0[ person ],0.813299775,1088,0,102,203
8,3, 62[ tv ],0.751797616,811,431,126,168
8,4, 66[ keyboard ],0.72360456,1163,423,93,77
8,5, 0[ person ],0.596201718,324,0,73,149
8,6, 73[ book ],0.442260772,699,643,110,76
9,0, 66[ keyboard ],0.884785593,876,623,131,96
9,1, 62[ tv ],0.831054866,1096,263,100,122
9,2, 0[ person ],0.814506292,1088,0,101,203
9,3, 62[ tv ],0.75091207,811,431,127,168
9,4, 66[ keyboard ],0.724003613,1163,423,93,77
9,5, 0[ person ],0.593736053,324,0,73,149
9,6, 73[ book ],0.441642582,699,643,110,76
10,0, 66[ keyboard ],0.885542631,876,623,131,96
10,1, 62[ tv ],0.831197143,1096,263,100,122
10,2, 0[ person ],0.814177573,1088,0,101,203
10,3, 62[ tv ],0.745478034,811,431,127,167
10,4, 66[ keyboard ],0.718015015,1162,423,94,76
10,5, 0[ person ],0.590055287,324,0,73,149
10,6, 73[ book ],0.44471243,699,643,110,76
10,7, 56[ chair ],0.400001317,0,399,187,319
11,0, 66[ keyboard ],0.884906054,876,623,132,97
11,1, 62[ tv ],0.829165757,1096,264,99,121
11,2, 0[ person ],0.795257926,1089,1,103,203
11,3, 62[ tv ],0.770017624,811,430,127,169
11,4, 66[ keyboard ],0.72189045,1163,423,93,77
11,5, 0[ person ],0.505845249,331,0,67,146
11,6, 73[ book ],0.443257034,700,643,109,76
12,0, 66[ keyboard ],0.884601057,876,623,132,97
12,1, 62[ tv ],0.829662561,1096,264,99,121
12,2, 0[ person ],0.797625542,1089,1,103,203
12,3, 62[ tv ],0.769658923,811,430,127,168
12,4, 66[ keyboard ],0.720928311,1163,423,93,77
12,5, 0[ person ],0.499253064,331,0,66,146
12,6, 73[ book ],0.446805954,699,643,109,76
13,0, 66[ keyboard ],0.884973347,876,623,131,97
13,1, 62[ tv ],0.829813123,1096,264,99,121
13,2, 0[ person ],0.797278702,1089,1,103,203
13,3, 62[ tv ],0.770738125,811,430,127,169
13,4, 66[ keyboard ],0.721612453,1163,423,93,77
13,5, 0[ person ],0.508613229,330,0,67,146
13,6, 73[ book ],0.4477005,699,643,109,76
13,7, 56[ chair ],0.424286216,0,400,187,318
